trial,balanced,moderate,greedy
204,83.1680295084,4586.3935552797,209853.9383498459
205,259.7090253046,5753.8480029676,208794.3817228960
206,25.6083649157,3929.0697446430,198583.2018499053
207,139.2101781113,3219.7026953427,214328.5693764160
208,129.0995077962,2676.4162023987,203525.0507600173
209,54.5130638377,3297.3967443347,203120.9164453722
210,36.3805983314,3691.1649661681,197533.7029163482
211,118.3008309742,4485.0413315463,217953.4094233118
212,263.2905815556,4249.1110110323,202736.4153557587
213,89.5288167451,3791.4611904152,192580.8632548139
214,35.6704109759,3522.5814859569,186663.7546637561
215,101.6067700317,4304.2712889156,196617.7245333883
216,20.9416104124,3400.4197630648,210254.7776842642
217,61.6097767322,3566.0003023440,198493.9159502187
218,319.3566433761,5841.9243702243,202358.5962113563
219,52.8912050075,4002.1818751020,199764.1821707724
220,53.0150816537,4235.3668024992,195566.2359684656
221,102.8919063708,4912.2826847171,208065.6096045806
222,32.7340088946,3785.0913854061,184039.7560703637
223,1161.4452803202,1845.5662952693,228404.5059659172
224,66.2645711024,3922.1417535746,208939.9775190153
225,16.5292783007,3574.5827171607,201109.6723651953
226,196.5878811434,4373.4214947393,201022.8131457138
227,169.4199812781,3183.9639152418,192538.8524071416
228,123.3621692588,4528.5982510581,186858.2404122975
229,35.0246865768,3618.3545308851,197009.3360857405
230,73.2250814369,2718.3042530008,219483.7009686851
231,5.1667163149,3330.9816023823,198444.1422808834
232,18.1340111502,3403.6245859830,206033.0251368748
233,30.8090658740,4138.7566136752,228402.8824453075
234,322.3586759635,4758.0451803240,217538.8611908153
235,51.5511189580,3850.7340705673,206633.6477130823
236,18.9470404622,2886.0725327968,198241.8760725126
237,108.2747670461,5192.8998874345,214168.6821802461
238,126.3797087449,3418.3099546930,197646.1961012769
239,88.3537230814,5067.3690967339,211198.4772140536
240,28.8027812668,3830.4999554363,196754.4896996760
241,19.9102587400,3647.0284604729,199494.3607837016
242,190.3394327783,5040.9599236438,220991.2304674835
243,65.7795391028,3983.5461341852,209106.5205679022
244,3.4839839640,3106.8501113954,190751.0213726252
245,67.8589209818,3674.1852029768,199691.0060096106
246,40.3914474716,2811.7245589690,203098.1752834822
247,99.6684199493,3835.7599340814,206063.2918354129
248,22.5156706793,3691.4101985206,197807.1531962577
249,126.7500105464,4633.3044897009,210517.7375328531
250,56.6992735873,3625.3517948712,203439.7668125688
251,30.4821586873,4170.7550938350,194248.5942238722
252,93.6469314951,3627.4236300563,196973.6216173777
253,124.8021271759,4823.8959090521,205676.3450950610
254,170.5695051777,3036.5208720366,195050.6507375336
255,23.9876945842,3476.0864571229,195106.5504717944
256,127.8560217738,2361.5092492107,188805.0217974483
257,24.2826342750,4067.7055116357,198474.2653814795
258,58.9466553792,3716.7422315985,212143.2542653233
259,68.7133110811,3082.2475846065,192768.9514015503
260,30.7668365418,3197.8656634935,206350.4878831977
261,24.7575227978,3139.1606728405,181278.1780968327
262,194.2949075485,4298.1785997955,200012.4162115549
263,420.7725580695,3495.2744864753,210308.5098177041
264,76.6640191664,4978.1259848485,212680.7082510326
265,58.5477872358,3222.8511626605,205772.5376212432
266,28.8580358980,3994.4283264055,204441.5237344878
267,51.2861684996,3938.6040284395,221814.7398419372
268,266.6045769446,3843.0814076916,204864.5915019724
269,123.8460650298,2549.5651225104,200886.2983667023
270,58.2324824468,3647.7265884105,214643.1248902787
271,74.2833009810,4177.3598581449,204919.2258931198
272,6.2418500416,3911.4912334966,201378.6345302600
273,74.0883170274,3664.9657151168,201465.5305295078
274,171.2197603276,2638.4254287675,211134.4891952417
275,140.3211469618,3889.3913987296,205152.2943739573
276,180.6095940474,2759.4395738422,207022.6450131121
277,76.5718228553,3976.1676124148,191570.4815110538
278,77.0218121730,3057.1273936923,199554.9174504532
279,63.6025020707,3729.2100241736,205673.0377692180
280,163.0122496970,3748.8416586743,209387.6029108238
281,718.2844381279,6526.0776177138,230138.6328584242
282,31.7791604185,3714.7034380594,192798.6342678688
283,78.8856670244,2850.0395670329,197000.6842741935
284,263.6695278066,3197.8159268611,212497.7009772488
285,9.1581612894,3566.6843318753,210007.9395513968
286,129.8945542578,3933.0386702640,202537.7715179249
287,62.1583340873,4699.7813409020,219375.4997186175
288,116.7567366807,3609.6004131321,214704.0652634032
289,262.9902502558,4460.8185543230,205287.7945374078
290,18.2687204718,3945.0908469586,210137.5544164277
291,98.3969582831,2806.9772969156,205877.1575306940
292,70.8363315037,3193.1267675965,215955.8664431280
293,268.9655024632,4376.2308322832,204380.8918949165
294,81.0498066030,4254.2768957584,195730.5364039475
295,112.7294003603,4271.0204255444,191005.8962691014
296,33.6389611200,3930.1441607195,195614.1271235231
297,79.9402638681,4782.5559391909,192798.7413414082
298,68.3609862176,3960.9031960874,204216.2276413972
299,253.6235088196,4160.3337020992,208253.0579619755
